name,category,icon,fame
Tyne Cot Memorial,other,icon-windmill,1
Universidade de Coimbra – Alta e Sofia,other,icon-windmill,1
Upper German-Raetian Limes,other,icon-windmill,2
V.C. Corner Australian Cemetery and Memorial,other,icon-windmill,1
Vale de Figueira / Teixugo,other,icon-windmill,1
Vale de Moinhos,other,icon-windmill,1
Vale de Namoradas,other,icon-windmill,1
Valmayor V,other,icon-windmill,1
Valmayor V,other,icon-windmill,1
Verla,other,icon-windmill,2
Viking Age Ring Fortresses,other,icon-windmill,1
Viking Age Ring Fortresses,other,icon-windmill,1
Viking Age Ring Fortresses,other,icon-windmill,1
Viking Age Ring Fortresses,other,icon-windmill,1
Viking Age Ring Fortresses,other,icon-windmill,1
Villers–Bretonneux Australian National Memorial,other,icon-windmill,1
Virgin Komi Forests,other,icon-windmill,2
Visoki Dečani,other,icon-windmill,2
Volcanoes of Kamchatka,other,icon-windmill,1
Volcanoes of Kamchatka,other,icon-windmill,1
Volcanoes of Kamchatka,other,icon-windmill,1
Volcanoes of Kamchatka,other,icon-windmill,1
Volcanoes of Kamchatka,other,icon-windmill,1
Wadden Sea,other,icon-windmill,1
Wadden Sea,other,icon-windmill,1
Wadden Sea,other,icon-windmill,1
West Norwegian Fjords – Geirangerfjord and Nærøyfjord,other,icon-windmill,1
Western Caucasus,other,icon-windmill,1
White Monuments of Vladimir and Suzdal,other,icon-windmill,2
World Heritage Dolomites,other,icon-windmill,1
Zona Central da Cidade de Angra do Heroísmo,other,icon-windmill,1
Zona Central da Cidade de Angra do Heroísmo,other,icon-windmill,1
Alcobaça Monastery,religious,icon-religious,2
Archaeological Area and the Patriarchal Basilica of Aquileia,religious,icon-religious,1
"Assisi, the Basilica of San Francesco and Other Franciscan Sites",religious,icon-religious,1
"Assumption Cathedral, Sviyazhsk",religious,icon-religious,1
Batalha Monastery,religious,icon-religious,2
Cathedral of the Savior in his Epiphany of Zaragoza,religious,icon-religious,2
Church of St. Thecla,religious,icon-religious,1
"Church of the Ascension, Kolomenskoye",religious,icon-religious,1
Church of the Holy All-Savior of Derbent,religious,icon-religious,1
Collegiate church of Santa María,religious,icon-religious,1
Convent of Christ,religious,icon-religious,2
Derbent Mosque,religious,icon-religious,1
Euphrasian Basilica,religious,icon-religious,2
Ferapontov Monastery,religious,icon-religious,2
Gammelstad Church Town,religious,icon-religious,2
Gammelstad Church Town,religious,icon-religious,2
Jerónimos Monastery,religious,icon-religious,2
Kremlin of Suzdal and Cathedral of the Nativity,religious,icon-religious,1
Novodevichy Convent,religious,icon-religious,2
Saint Sophia Cathedral,religious,icon-religious,3
The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,religious,icon-religious,1
Urnes Stave Church,religious,icon-religious,2
